Example ID,Source,Figure ID,Data Provider,PI,Date Received,Data Measurment Published,Type,Carbon,Nitrogen,Phosphorus,Hydrogen,Titanium,Gold,Lithium,Nickel,Cobalt,Manganese,Oxygen,Cadmium,Selenium,Sulfur,Silicon,Platinum,Zinc,Indium,Selenium,Aluminum,Total Comp Knowledge,Particle Diameter Dimension 1 (nm),Particle Diameter Dimension 2 (nm),Particle Diameter Dimension 3 (nm),Capping Agent,Particle Shape,Concentration (mg/L),Surface Area (NMC) (m2/g),pH,Medium,Natural Organic Matter (mg/L),Purification Method,Total Centrifugation Steps,Exposure Time (min),Bacteria,Gram,Identity,Mutation,Prior Exposure,Method,Viability_Fraction,Error,Comments
1,10.1021/acs.est.7b02823,1 and 3,Arielle Mensch,Bob Hamers,2018/8/23,2017/8/17,Nanodiamond,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,15,15,15,PAH,Amorphous,3.75 ,0,7.40,HEPES Buffer,0,Dialysis,0,10,Yes,Negative,Shewanella oneidensis,MR-1,No,GBV,0.11 ,,
2,10.1021/acs.est.7b02823,3,Arielle Mensch,Bob Hamers,2018/8/23,2017/8/17,Nanodiamond,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,15,15,15,PAH,Amorphous,3.75 ,0,7.40,HEPES Buffer,0.50,Dialysis,0,10,Yes,Negative,Shewanella oneidensis,MR-1,No,GBV,0.05 ,,
3,10.1021/acs.est.7b02823,3,Arielle Mensch,Bob Hamers,2018/8/23,2017/8/17,Nanodiamond,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,15,15,15,PAH,Amorphous,3.75 ,0,7.40,HEPES Buffer,1,Dialysis,0,10,Yes,Negative,Shewanella oneidensis,MR-1,No,GBV,0.05 ,,
4,10.1021/acs.est.7b02823,3,Arielle Mensch,Bob Hamers,2018/8/23,2017/8/17,Nanodiamond,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,15,15,15,PAH,Amorphous,3.75 ,0,7.40,HEPES Buffer,2,Dialysis,0,10,Yes,Negative,Shewanella oneidensis,MR-1,No,GBV,0.12 ,,
5,10.1021/acs.est.7b02823,3,Arielle Mensch,Bob Hamers,2018/8/23,2017/8/17,Nanodiamond,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,15,15,15,PAH,Amorphous,3.75 ,0,7.40,HEPES Buffer,3,Dialysis,0,10,Yes,Negative,Shewanella oneidensis,MR-1,No,GBV,0.21 ,,
6,10.1021/acs.est.7b02823,1 and 3,Arielle Mensch,Bob Hamers,2018/8/23,2017/8/17,Nanodiamond,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,15,15,15,PAH,Amorphous,3.75 ,0,7.40,HEPES Buffer,5,Dialysis,0,10,Yes,Negative,Shewanella oneidensis,MR-1,No,GBV,1.14 ,0.14 ,
7,10.1021/acs.est.7b02823,1 and 3,Arielle Mensch,Bob Hamers,2018/8/23,2017/8/17,Nanodiamond,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,15,15,15,PAH,Amorphous,3.75 ,0,7.40,HEPES Buffer,25,Dialysis,0,10,Yes,Negative,Shewanella oneidensis,MR-1,No,GBV,0.95 ,,
8,10.1021/acs.analchem.6b04652,3a,Tian Autumn Qiu,Christy Haynes,2018/9/18,2017/1/9,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,4.50,4.50,4.50,PAH,Sphere,2.80 ,0,7.40,HEPES Buffer,0,1 C H2O,1,15,Yes,Negative,Shewanella oneidensis,MR-1,No,GBV,0.02 ,,
9,10.1021/acs.analchem.6b04652,3a,Tian Autumn Qiu,Christy Haynes,2018/9/18,2017/1/9,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,4.50,4.50,4.50,PAH,Sphere,1.40 ,0,7.40,HEPES Buffer,0,1 C H2O,1,15,Yes,Negative,Shewanella oneidensis,MR-1,No,GBV,0.05 ,,
10,10.1021/acs.analchem.6b04652,3a,Tian Autumn Qiu,Christy Haynes,2018/9/18,2017/1/9,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,4.50,4.50,4.50,PAH,Sphere,0.70 ,0,7.40,HEPES Buffer,0,1 C H2O,1,15,Yes,Negative,Shewanella oneidensis,MR-1,No,GBV,0.10 ,,
11,10.1021/acs.analchem.6b04652,3a,Tian Autumn Qiu,Christy Haynes,2018/9/18,2017/1/9,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,4.50,4.50,4.50,PAH,Sphere,0.35 ,0,7.40,HEPES Buffer,0,1 C H2O,1,15,Yes,Negative,Shewanella oneidensis,MR-1,No,GBV,0.35 ,,
12,10.1021/acs.analchem.6b04652,3a,Tian Autumn Qiu,Christy Haynes,2018/9/18,2017/1/9,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,4.50,4.50,4.50,PAH,Sphere,0.18 ,0,7.40,HEPES Buffer,0,1 C H2O,1,15,Yes,Negative,Shewanella oneidensis,MR-1,No,GBV,1.34 ,,
13,10.1021/acs.analchem.6b04652,3a,Tian Autumn Qiu,Christy Haynes,2018/9/18,2017/1/9,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,4.50,4.50,4.50,PAH,Sphere,0.09 ,0,7.40,HEPES Buffer,0,1 C H2O,1,15,Yes,Negative,Shewanella oneidensis,MR-1,No,GBV,1.05 ,,
14,10.1021/acs.analchem.6b04652,3a,Tian Autumn Qiu,Christy Haynes,2018/9/18,2017/1/9,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,4.50,4.50,4.50,PAH,Sphere,0.04 ,0,7.40,HEPES Buffer,0,1 C H2O,1,15,Yes,Negative,Shewanella oneidensis,MR-1,No,GBV,1.08 ,,
15,10.1021/acs.analchem.6b04652,3a,Tian Autumn Qiu,Christy Haynes,2018/9/18,2017/1/9,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,4.50,4.50,4.50,PAH,Sphere,0.00 ,0,7.40,HEPES Buffer,0,1 C H2O,1,15,Yes,Negative,Shewanella oneidensis,MR-1,No,GBV,1.12 ,,
16,10.1021/acs.analchem.6b04652,3c,Tian Autumn Qiu,Christy Haynes,2018/9/18,2017/1/9,NMC,0,0,0,0,0,0,0.25,0.06,0.14,0.06,0.50,0,0,0,0,0,0,0.00,0.00,0.00,T,5,70,70,None,Sheet,100.00 ,127.20,7.25,Minimal Medium,0,"1 C H2O,  4 C MeOH",5,180,Yes,Negative,Shewanella oneidensis,MR-1,No,GBV,0.27 ,,
17,10.1021/acs.analchem.6b04652,3c,Tian Autumn Qiu,Christy Haynes,2018/9/18,2017/1/9,NMC,0,0,0,0,0,0,0.25,0.06,0.14,0.06,0.50,0,0,0,0,0,0,0.00,0.00,0.00,T,5,70,70,None,Sheet,50.00 ,127.20,7.25,Minimal Medium,0,"1 C H2O,  4 C MeOH",5,180,Yes,Negative,Shewanella oneidensis,MR-1,No,GBV,0.38 ,,
18,10.1021/acs.analchem.6b04652,3c,Tian Autumn Qiu,Christy Haynes,2018/9/18,2017/1/9,NMC,0,0,0,0,0,0,0.25,0.06,0.14,0.06,0.50,0,0,0,0,0,0,0.00,0.00,0.00,T,5,70,70,None,Sheet,25.00 ,127.20,7.25,Minimal Medium,0,"1 C H2O,  4 C MeOH",5,180,Yes,Negative,Shewanella oneidensis,MR-1,No,GBV,0.50 ,0.22 ,
19,10.1021/acs.analchem.6b04652,3c,Tian Autumn Qiu,Christy Haynes,2018/9/18,2017/1/9,NMC,0,0,0,0,0,0,0.25,0.06,0.14,0.06,0.50,0,0,0,0,0,0,0.00,0.00,0.00,T,5,70,70,None,Sheet,12.50 ,127.20,7.25,Minimal Medium,0,"1 C H2O,  4 C MeOH",5,180,Yes,Negative,Shewanella oneidensis,MR-1,No,GBV,0.65 ,,
