Experimental Values,Predicted Values
0.8,0.9937168
1.0,0.51057523
0.95,0.23067135
0.55,0.24168193
0.55,0.24168193
1.37,0.9923317
1.26,0.49076378
1.17,0.49261513
0.98,0.52151006
0.74,0.50935215
0.5,0.5085244
0.85,1.051603
0.95,0.90128803
0.95,0.5202707
0.95,0.5187921
0.8,0.52159137
1.37,1.1206156
1.24,1.2606318
1.07,1.2667471
0.82,1.2677802
0.53,1.2673821
0.47,1.2673821
1.0,1.017048
0.98,0.9194495
0.99,0.9258101
0.99,0.9258101
1.0,0.9258101
1.01,0.9194495
0.97,0.9194495
0.92,0.9194495
1.0,1.0637946
0.98,0.28578824
0.97,0.772445
1.01,0.772445
1.0,0.7684082
0.96,0.7684082
0.93,0.7684082
0.93,0.7684082
