dataset,actual,predicted
validation,1.0,1.0562272
validation,0.45433334,0.39888167
validation,0.515,0.77613485
validation,1.0,1.0846857
validation,1.33643,0.44824624
validation,1.0,0.98100066
validation,1.0011461,0.93822116
validation,0.35492167,0.4984319
validation,0.40494058,0.5124687
validation,1.0026135,1.0201145
validation,0.06270903,0.8856084
validation,0.95,0.9758688
validation,1.5092624,1.4288745
validation,0.5175,0.62325704
validation,0.18286586,0.2985988
validation,0.28133333,0.41597772
validation,0.101,0.21055622
validation,0.86866665,0.53606915
validation,0.8,0.6146271
validation,0.28319493,0.35605854
validation,0.01116,0.24435808
validation,0.8277597,0.6898198
validation,1.001907,0.9143377
validation,0.7575,0.62198526
validation,0.34861332,0.2520685
validation,0.0,0.30765474
validation,0.7725,0.43184385
validation,0.7296478,0.7069555
validation,1.417,0.6976696
validation,0.9808305,0.66453624
validation,0.4687,0.5866258
validation,0.291,0.35605854
validation,1.0,1.0559641
validation,1.0,0.98150474
validation,0.388,0.30887437
validation,1.0,1.0399495
test,0.217,0.57887137
test,1.0,0.98100066
test,1.1375,0.93773633
test,0.011428218,0.21203284
test,1.0,0.7806012
test,0.9889615,0.9143377
test,1.1627207,1.0228798
test,1.0,0.98100066
test,0.9975,0.8275041
test,0.0455,0.27768078
test,1.0000008,1.0669999
test,0.69666666,0.400046
test,1.1353333,0.44527996
test,0.6928896,0.7121109
test,1.0,1.0388424
test,0.7,0.6434514
test,0.00204918,0.17335428
test,1.19,0.5911739
test,0.886,0.44110897
test,0.6417071,0.7184379
test,2.08763,1.5542762
test,0.3244,0.6767547
test,1.0,1.0945054
test,1.0,1.0199741
test,0.405,0.5395572
test,1.0538133,0.71513283
test,1.3233334,1.0961659
test,0.73,0.7761283
test,0.00014,1.4754844
test,0.07661539,0.21484165
test,1.1545198,1.060067
test,1.5220075,1.4472433
test,0.32,0.4557563
test,0.6975,0.62198526
test,0.6465398,0.5375459
test,0.27151972,0.35605854
test,1.0,0.49131614
test,0.024056667,0.3027761
test,0.9293478,1.0005342
test,0.43,0.47149885
test,0.0,0.32261738
test,0.939198,0.7179972
test,1.3683333,1.0961714
test,1.640025,1.4575325
test,1.0,0.9649875
